"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"223485";"3";"2009";"11";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"26600099534";"Antônio Márcio Rocha de França";;"2009-11-30";;"3500"
"223484";"1";"2009";"11";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08472531000270";"Auto Posto MEPS Ltda";"000717";"2009-12-07";;"10000.57"
"223486";"3";"2009";"11";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10231250568";"Francisco Maurício de Sá Santos";;"2009-11-30";;"2500"
"248931";"4";"2009";"12";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13018171000190";"Deso - Companhia de Saneamento de Sergipe";;"2009-12-12";;"651.09"
"248930";"4";"2009";"12";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13017462000163";"Energisa SA";;"2009-12-03";;"319.61"
"248933";"4";"2009";"12";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04164616000906";"Oi - TNL PCS SA";;"2009-12-02";;"920.07"
"248935";"4";"2009";"12";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000179";"Oi Fixo - Telemar Norte Leste SA";;"2009-12-01";;"15.45"
"248934";"4";"2009";"12";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000179";"Oi Fixo - Telemar Norte Leste SA";;"2009-12-01";;"135.7"
"248932";"4";"2009";"12";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02449992023296";"VIVO SA";;"2009-12-21";;"150.01"
"256821";"1";"2009";"12";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"07828978000195";"Ação Publicidade e Marketing Ltda.";"003314";"2009-12-16";;"10650"
"248937";"1";"2009";"12";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"03167320000129";"Comercial Tele Alarme Ltda";"009878";"2009-12-01";;"80"
"248936";"1";"2009";"12";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02217936000102";"Jet - TV Internet";"000001288";"2009-12-15";;"66.8"
"256823";"3";"2009";"12";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02218527510";"Joselito Rodrigues Sobral Filho";;"2009-11-30";;"3000"
"256822";"3";"2009";"12";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02218527510";"Joselito Rodrigues Sobral Filho";;"2009-12-30";;"3000"
"223068";"3";"2009";"12";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"26600099534";"Antônio Márcio Rocha de França";;"2009-12-30";;"3500"
"223069";"3";"2009";"12";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10231250568";"Francisco Maurício de Sá Santos";;"2009-12-30";;"2500"
"248938";"3";"2009";"12";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"72137819520";"José Aristeu Santos Neto";;"2009-12-30";;"3000"
"2009010349001";;"2009";"1";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";;;;;;"6116.31"
"2009010349002";;"2009";"1";"ALOIZIO MERCADANTE";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";;;;;;"165.9"
"2009010349004";;"2009";"1";"ALOIZIO MERCADANTE";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";;;;;;"95.1"
"2009010349003";;"2009";"1";"ALOIZIO MERCADANTE";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";;;;;;"673.76"
"2009020349001";;"2009";"2";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";;;;;;"6889.94"
"2009020349002";;"2009";"2";"ALOIZIO MERCADANTE";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";;;;;;"441.1"
"2009020349003";;"2009";"2";"ALOIZIO MERCADANTE";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";;;;;;"971.36"
"2009030349001";;"2009";"3";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";;;;;;"7625.55"
"2009030349002";;"2009";"3";"ALOIZIO MERCADANTE";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";;;;;;"617"
"2009030349004";;"2009";"3";"ALOIZIO MERCADANTE";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";;;;;;"95.1"
"2009030349003";;"2009";"3";"ALOIZIO MERCADANTE";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";;;;;;"2140.06"
"156117";"3";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"43776517000180";"Companhia de Saneamento Básico do Estado de São Paulo - SABESP";"1351006785191";"2009-04-09";;"103.32"
"156081";"4";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"61695227000193";"Eletropaulo Metropolitana Eletricidade de São Paulo S/A";"555970385718";"2009-04-07";;"417.8"
"162279";"4";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33530486000129";"Embratel - Empresa Brasileira de Telecomunicações S.A";"00170212039272";"2009-04-28";;"127.28"
"153379";"3";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"52113329891";"Emilio Ferroni Neto (Aluguel)";"S/N";"2009-04-16";;"3550"
"156096";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"65697161000121";"NET São Paulo";"0000694500";"2009-03-28";;"348.11"
"156099";"3";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05649898000147";"Prefeitura da Cidade de São Paulo";"361.838";"2009-05-05";;"416.49"
"156101";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.707.339";"2009-04-17";;"16.6"
"156100";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.723.873";"2009-04-17";;"70.16"
"156103";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.707.350";"2009-04-17";;"274.79"
"156102";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.676.386";"2009-04-17";;"530.88"
"156106";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.707.348";"2009-04-17";;"563.53"
"156107";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.707.349";"2009-04-17";;"602.38"
"156104";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.707.340";"2009-04-17";;"619.9"
"156105";"1";"2009";"4";"ALOIZIO MERCADANTE";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02558157000162";"Telecomunicações de São Paulo S.A. - TELESP";"11000-1.676.387";"2009-04-17";;"1003.11"
"153376";"3";"2009";"4";"ALOIZIO MERCADANTE";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"67641886000123";"ECT - Emp. Bras. Correios e Telegrafos";"184622";"2009-04-07";;"26.8"
"153375";"3";"2009";"4";"ALOIZIO MERCADANTE";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"67641886000123";"ECT - Emp. Bras. Correios e Telegrafos";"185106";"2009-04-13";;"44.2"
"153377";"3";"2009";"4";"ALOIZIO MERCADANTE";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"67641886000123";"ECT - Emp. Bras. Correios e Telegrafos";"185356";"2009-04-15";;"418.6"
"156116";"3";"2009";"4";"ALOIZIO MERCADANTE";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"34028316614942";"ECT - Emp. Bras. de Correios e Telegrafos";"SX692901035BR";"2009-04-22";;"39.2"
"191666";"4";"2009";"4";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04164616000159";"Oi - TNL PCS SA";;"2009-04-02";;"445.55"
"191664";"4";"2009";"4";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-04-01";;"15"
"191665";"4";"2009";"4";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-04-01";;"98.28"
"191663";"4";"2009";"4";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02449992023296";"VIVO SA";;"2009-04-21";;"279.5"
"191668";"1";"2009";"4";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"03167320000129";"Comercial Tele Alarme LTDA";;"2009-04-01";;"80"
"191667";"1";"2009";"4";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02242370000160";"LIG TV";;"2009-04-15";;"66.8"
"191662";"5";"2009";"4";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"32713380000106";"Netservices Internet LTDA";;"2009-04-15";;"44.9"
"191669";"3";"2009";"4";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"26600099534";"Antônio Márcio Rocha de França";;"2009-04-30";;"3500"
"191670";"3";"2009";"4";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10231250568";"Francisco Maurício de Sá Santos";;"2009-04-30";;"2500"
"191671";"3";"2009";"4";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"99233509591";"Kleysse Santos de Lima";;"2009-04-30";;"2500"
"191685";"4";"2009";"5";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13018171000190";"Deso - Companhia de Saneamento de Sergipe";;"2009-05-14";;"68.76"
"191684";"4";"2009";"5";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13017462000163";"Energisa Sergipe SA";;"2009-05-06";;"370.39"
"191690";"4";"2009";"5";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04164616000906";"Oi - TNL PCS SA";;"2009-05-02";;"483.7"
"191689";"4";"2009";"5";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000179";"Oi Fixo - Telemar Norte Leste SA";;"2009-05-01";;"15"
"191688";"4";"2009";"5";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000179";"Oi Fixo - Telemar Norte Leste SA";;"2009-05-01";;"46.2"
"191687";"4";"2009";"5";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02449992023296";"VIVO SA";;"2009-05-21";;"194.38"
"191691";"1";"2009";"5";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"03167320000129";"Comercial Tele Alarme LTDA";;"2009-05-04";;"80"
"191692";"1";"2009";"5";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"03167320000129";"Comercial Tele Alarme LTDA";;"2009-05-28";;"50"
"191686";"5";"2009";"5";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"32713380000106";"Netservices Internet LTDA";;"2009-05-15";;"44.9"
"191693";"3";"2009";"5";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"26600099534";"Antônio Márcio Rocha de França";;"2009-05-29";;"3500"
"191694";"3";"2009";"5";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10231250568";"Francisco Maurício de Sá Santos";;"2009-05-29";;"2500"
"191695";"3";"2009";"5";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"99233509591";"Kleysse Santos de Lima";;"2009-05-29";;"2500"
"191698";"4";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13018171000190";"Deso - Companhia de Saneamento de Sergipe";;"2009-06-08";;"16.54"
"191697";"4";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13018171000190";"Deso - Companhia de Saneamento de Sergipe";;"2009-06-12";;"323.53"
"191696";"4";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13017462000163";"Energisa Sergipe SA";;"2009-06-02";;"185.13"
"191699";"5";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"32713380000106";"Netservices Iternet LTDA";;"2009-06-15";;"44.9"
"191701";"4";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04164616000159";"Oi - TNL PCS SA";;"2009-06-02";;"541.2"
"191703";"4";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-06-01";;"15.6"
"191702";"4";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-06-01";;"156.81"
"191700";"4";"2009";"6";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02449992023296";"VIVO SA";;"2009-06-21";;"287.88"
"191704";"1";"2009";"6";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02242370000160";"LIG TV";;"2009-06-15";;"66.8"
"191705";"4";"2009";"6";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02351877000152";"Locaweb Serviços de Internet";;"2009-06-15";;"59"
"191706";"3";"2009";"6";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"26600099534";"Antônio Márcio Rocha de França";;"2009-06-29";;"3500"
"191707";"3";"2009";"6";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10231250568";"Francisco Maurício de Sá Santos";;"2009-06-29";;"2500"
"191708";"3";"2009";"6";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"99233509591";"Kleysse Santos de Lima";;"2009-06-29";;"2500"
"191726";"4";"2009";"7";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13018171000190";"Deso - Companhia de Saneamento de Sergipe";;"2009-07-13";;"80.89"
"191725";"4";"2009";"7";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13017462000163";"Energisa Sergipe SA";;"2009-07-03";;"197.24"
"191731";"4";"2009";"7";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-07-01";;"16.35"
"191730";"4";"2009";"7";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-07-01";;"109.79"
"191729";"4";"2009";"7";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04164616000159";"Oi -TNL PCS SA";;"2009-07-02";;"528.96"
"191728";"4";"2009";"7";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02449992023296";"VIVO SA";;"2009-07-21";;"212.8"
"191733";"1";"2009";"7";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"03167320000129";"Comercial Tele Alarme LTDA";;"2009-07-02";;"80"
"191732";"1";"2009";"7";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02242370000160";"LIG TV";;"2009-07-15";;"68.55"
"191734";"4";"2009";"7";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02351877000152";"Locaweb Serviços de Intrnet";;"2009-07-15";;"59"
"191727";"5";"2009";"7";"ALMEIDA LIMA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"32713380000106";"Netservices Internet LTDA";;"2009-07-15";;"44.9"
"191735";"3";"2009";"7";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"26600099534";"Antônio Márcio Rocha deFrança";;"2009-07-31";;"3500"
"221095";"1";"2009";"7";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08472531000270";"Auto Posto MEPS Ltda";"00239";"2009-08-21";;"3849.06"
"221094";"1";"2009";"7";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08472531000270";"Auto Posto MEPS Ltda";"000494";"2009-08-28";;"3338.67"
"221096";"1";"2009";"7";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08472531000270";"Auto Posto MEPS Ltda";"00262";"2009-08-31";;"7578.07"
"191736";"3";"2009";"7";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10231250568";"Francisco Maurício de Sá Santos";;"2009-07-31";;"2500"
"191737";"3";"2009";"7";"ALMEIDA LIMA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"99233509591";"Kleysse Santos de Lima";;"2009-07-31";;"2500"
"196901";"1";"2009";"8";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"03167320000129";"Comercial Tele Alarme LTDA";;"2009-08-03";;"80"
"196894";"4";"2009";"8";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13018171000190";"Deso - Companhia de Saneamento de Sergipe";;"2009-08-12";;"250.74"
"196893";"4";"2009";"8";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13017462000163";"Energisa Sergipe SA";;"2009-08-04";;"177.29"
"196897";"4";"2009";"8";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04164616000159";"Oi - TNL PCS SA";;"2009-08-02";;"442.74"
"196899";"4";"2009";"8";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-08-01";;"15"
"196898";"4";"2009";"8";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"33000118000411";"Oi Fixo - Telemar Norte Leste SA";;"2009-08-01";;"186.85"
"196896";"4";"2009";"8";"ALMEIDA LIMA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02449992023296";"VIVO SA";;"2009-08-21";;"138.87"
"196900";"1";"2009";"8";"ALMEIDA LIMA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"02242370000160";"LIG TV";;"2009-08-15";;"66.8"
