"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"268280";"2";"2010";"2";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"04082624000822";"IRMÃOS GONÇALVES COMÉRCIO E INDUSTRIA LTDA";"293970";"2010-02-23";;"5.87"
"268279";"2";"2010";"2";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"08267557000103";"NATALIA R. DA SILVA TOSCHI ME - PAPELARIA GLOBO";"023581";"2001-02-23";;"12"
"268275";"1";"2010";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"09040457000102";"CENTRAL RONDÔNIA.COM";"000004";"2010-02-05";;"1500"
"245668";"1";"2010";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"02952610000110";"RÁDIO COMUNITÁRIA CRISTAL FM";"000366";"2010-02-24";;"150"
"245671";"1";"2010";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"04556327000103";"RÁDIO ITAPUÃ FM 87,9 MHZ";"000086";"2010-02-13";;"100"
"245669";"1";"2010";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"03850242000162";"WIL PROPAGANDA";"0001253";"2010-02-20";;"1000"
"268276";"2";"2010";"2";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05916036000567";"JOSÉ OTONIO LIMA SILVA - POSTO VITORIA 04";"058732";"2010-02-09";;"20.03"
"268277";"2";"2010";"2";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04903852000220";"POSTO SÃO JOSÉ II";"115872";"2010-02-17";;"50"
"277224";"1";"2010";"3";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"452163-3";"2010-03-11";;"40.73"
"277226";"1";"2010";"3";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"0454206-1";"2010-03-18";;"128.81"
"245673";"3";"2010";"3";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";;"2010-03-12";;"5000"
"277225";"1";"2010";"3";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764000143";"OI BRASIL TELECOM S.A.";"96301-1";"2010-03-14";;"440.27"
"268311";"2";"2010";"3";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"01893042000161";"ARCO IRIS SUPERMERCADO - SOL NASCENTE COM. DE GÊNEROS ALIMENTÍCIOS LTDA ";"050532";"2010-03-23";;"5"
"268309";"2";"2010";"3";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"04875273000130";"FORT ALIMENTOS LTDA";"001878";"2010-03-18";;"5.86"
"268304";"2";"2010";"3";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"07170542000151";"INK JET INFORMÁTICA E PAPELARIA LTDA  ";"010107";"2010-03-01";;"45"
"268305";"2";"2010";"3";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"07170542000151";"INK JET INFORMÁTICA E PAPELARIA LTDA-ME";"010177";"2010-03-05";;"58.5"
"268310";"1";"2010";"3";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"07170542000151";"INK JET INFORMÁTICA E PAPELARIA LTDA-ME";"013760";"2010-03-18";;"90"
"268308";"2";"2010";"3";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"08267557000103";"NATALIA R. DA SILVA TOSCHI ME - PAPELARIA GLOBO";"024420";"2010-03-17";;"1.5"
"268307";"1";"2010";"3";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"06053641000190";"PAPELARIA UNIVERS RCMG MALINI - ME";"009292";"2010-03-16";;"5.95"
"252117";"1";"2010";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"11625132000125";"ariquemesagora.com.br";"000001";"2010-03-12";;"600"
"252118";"1";"2010";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"11625132000125";"ariquemesagora.com.br";"000002";"2010-03-29";;"600"
"268306";"1";"2010";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"09040457000102";"CENTRAL RONDÔNIA.COM";"000005";"2010-03-05";;"1500"
"268313";"1";"2010";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"09040457000102";"CENTRAL RONDÔNIA.COM";"000006";"2010-03-30";;"1500"
"250001";"1";"2010";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"03718553000172";"TRIBUNA POPULAR - EMPRESA JORNALÍSTICA TRIBUNA POPULAR LTDA ";"0002188";"2010-03-12";;"500"
"256699";"1";"2010";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"03058974000114";"VVC PRODUÇÕES PUBLICIDADES E PESQUISA LTDA";"000468";"2010-03-11";;"1500"
"252119";"1";"2010";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"15491376000113";"MIRAGE AERO COMBUSTÍVEIS LTDA";"5787";"2010-03-30";;"2940"
"268579";"1";"2010";"4";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"0454206-1";"2010-04-20";;"191.56"
"257553";"3";"2010";"4";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";;"2010-04-12";;"5000"
"268569";"2";"2010";"4";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04082624000822";"IRMÃOS GONÇALVES COMÉRCIO E INDUSTRIA LTDA";"002005";"2010-04-12";;"145.04"
"277227";"1";"2010";"4";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764000143";"OI BRASIL TELECOM S.A. ";"96301-1";"2010-04-14";;"614.83"
"268581";"2";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"01893042000161";"ARCO-ÍRIS SUPERMERCADO SOL NASCENTE COM. DE GÊNEROS ALIMENTÍCIOS LTDA";"052577";"2010-04-20";;"10"
"268570";"1";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA S.A. - CERON";"452163-3";"2010-04-12";;"41.84"
"268584";"1";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"34738278000182";"CHAVEIRO NASCIMENTO LTDA - ME";"020638";"2010-04-26";;"17"
"268578";"1";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"07170542000151";"INK JET INFORMÁTICA E PAPELARIA LTDA-ME";"014115";"2010-04-20";;"180"
"268566";"1";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"06053641000190";"PAPELARIA UNIVERS - RCMG MALINI - ME";"009301";"2010-04-01";;"2.5"
"268582";"2";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"06053641000190";"RCMG MALINI - ME";"050774";"2010-04-23";;"30.73"
"268567";"2";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"01893042000161";"SOL NASCENTE COM. DE GENEROS ALIMENTÍCIOS LTDA";"017288";"2010-04-08";;"16.96"
"268568";"2";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"01893042000161";"SOL NASCENTE COM. DE GENEROS ALIMENTÍCIOS LTDA";"017449";"2010-04-12";;"19"
"268565";"2";"2010";"4";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"34750281000111";"SUPERMERCADO SANCHEZ LTDA";"021382";"2010-04-01";;"11.95"
"257555";"1";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"01708169000163";"ASSIS AEROTÁXI LTDA ATAL";"000644";"2010-04-22";;"8900"
"268575";"2";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"01097926000100";"AUTO POSTO DORALICE LTDA";"128655";"2010-04-15";;"20.05"
"268583";"2";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07042246000175";"AUTO POSTO 2000 II";"137867";"2010-04-25";;"30"
"268573";"2";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"11097380000140";"D. DA SILVA RIBEIRO & CIA LTDA ME";"029977";"2010-04-14";;"11.22"
"268574";"2";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"11097380000140";"D. DA SILVA RIBEIRO & CIA LTDA ME";"030303";"2010-04-15";;"9.78"
"268577";"2";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07633406000231";"ELO-COOPERATIVA DE CONSUMO DE RONDÔNIA";"374010";"2010-04-16";;"49.5"
"264356";"1";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04778630000142";"RIMA - RIO MADEIRA AEROTÁXI LTDA";"001870";"2010-04-24";;"3000"
"257554";"1";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04778630000142";"RIMA- RIO MADEIRA AEROTÁXI";"001857";"2010-04-13";;"2000"
"268571";"2";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"225108";"2010-04-13";;"104.98"
"268572";"2";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"225522";"2010-04-14";;"126.3"
"268576";"1";"2010";"4";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"34472852000101";"TOLDU'S PIZZARIA";"0023919";"2010-04-16";;"204.05"
"268347";"1";"2010";"5";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"0452163-3";"2010-05-19";;"40.76"
"268346";"1";"2010";"5";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"0454206-1";"2010-05-19";;"284.24"
"264357";"3";"2010";"5";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";;"2010-05-12";;"5000"
"277228";"1";"2010";"5";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764000143";"OI BRASIL TELECOM S.A.";"96301-1";"2010-05-14";;"605.95"
"268340";"5";"2010";"5";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"10918640000139";"RF COMÉRCIO DE PRODUTOS DE HIGIENE E DESCARTÁVEIS";"230";"2010-05-12";;"139"
"268352";"2";"2010";"5";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"34750281000111";"SUPERMERCADO SANCHEZ LTDA";"022778";"2010-05-26";;"9.06"
"268341";"1";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08742056000123";"A TOCA";"000273";"2010-05-13";;"21"
"268343";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02714223000146";"AUTO POSTO RIBEIRO LTDA";"046222";"2010-05-13";;"69"
"268350";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07219464000132";"AUTO POSTO SOBERANO LTDA";"302916";"2010-05-21";;"20.01"
"268351";"1";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06281077000163";"CHURRASCARIA GRÃO DE OURO";"096553697";"2010-05-25";;"43"
"268335";"1";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04097176000164";"CHURRASCARIA LOCATELLI";"99615996";"2010-05-07";;"29.5"
"268342";"1";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10908726000180";"DIVON'S RESTAURANTE";"001092";"2010-05-13";;"7"
"268336";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04390927000136";"PANIFICADORA TUTTI PANE LTDA - ME";"020881";"2010-05-07";;"17"
"268348";"1";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"09303096000131";"POCAHY &  VIEIRA LTDA - ME";"0004565";"2010-05-20";;"13"
"268338";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"235983";"2010-05-08";;"29.99"
"268337";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"235735";"2010-05-08";;"59.99"
"268339";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"236306";"2010-05-09";;"29.99"
"268344";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"238215";"2010-05-14";;"103.07"
"268345";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"239986";"2010-05-18";;"136.97"
"268349";"2";"2010";"5";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06018304000162";"ZE BRANCO AUTO POSTO LTDA ME";"008049";"2010-05-21";;"129"
"277230";"1";"2010";"6";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"452163-3";"2010-06-09";;"41.37"
"277235";"1";"2010";"6";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CENTRAIS ELÉTRICAS DE RONDÔNIA - CERON";"454206-1";"2010-06-16";;"176.17"
"277231";"3";"2010";"6";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";;"2010-06-12";;"5000"
"277233";"1";"2010";"6";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764000143";"OI - BRASIL TELECOM S.A.";"00044922";"2010-06-14";;"574.51"
"277229";"1";"2010";"6";"ACIR GURGACZ";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"07193945000116";"FOTO LOPES";"002249";"2010-06-04";;"11"
"292265";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02027459000104";"AUTO POSTO CENTRO NORTE";"005094";"2010-08-25";;"99.5"
"292260";"2";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05598170000133";"AUTO POSTO DELARCO LTDA";"040324";"2010-06-24";;"50"
"292261";"2";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05598170000133";"AUTO POSTO DELARCO LTDA";"040325";"2010-06-24";;"143.55"
"292263";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"15896996000132";"GIRA SOL PALACE HOTEL";"8049";"2010-06-25";;"60"
"292264";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"15896996000132";"GIRA SOL PALACE HOTEL";"8048";"2010-06-25";;"64.5"
"292268";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05902762000105";"POSTO ALIANÇA";"336473";"2010-06-26";;"75"
"277234";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"03604591000102";"POSTO MONTE CASTELO";"92894344";"2010-06-16";;"129.2"
"292262";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07379791000151";"RESTAURANTE AMAZONAS II";"493505";"2010-06-24";;"66"
"292267";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04247987000102";"RESTAURANTE ORIENTE LTDA EPP";"0039048";"2010-06-26";;"56"
"277232";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04778630000142";"RIMA - RIO MADEIRA AEROTÁXI LTDA";"001953";"2010-06-13";;"3750"
"278425";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04778630000142";"RIMA - RIO MADEIRA AEROTÁXI LTDA";"001970";"2010-06-22";;"4200"
"292266";"1";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10778594000110";"SABOR MINEIRO";"0317";"2010-06-26";;"17"
"292269";"2";"2010";"6";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07730741000177";"SILVA & PELIN LTDA";"257009";"2010-06-29";;"113.98"
"297713";"4";"2010";"7";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764032347";"BRASIL TELECOM S.A.";"1007.000008700";"2010-07-14";;"603.35"
"297714";"1";"2010";"7";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05914650000166";"CERON - CENTRAIS ELÉTRICAS DE RONDÔNIA S.A.";"0004540";"2010-07-18";;"161.67"
"288159";"3";"2010";"7";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"00494802863";"GILBERTO PISELO DO NASCIMENTO";;"2010-07-12";;"5000"
