"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2192850";"7";"2023";"1";"BISPO JOSÉ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"34960629000103";"AUTO POSTO CALAFATE COMERCIO DE DERIVADOS DE PETROLEO LTDA";"769";"2023-01-19";;"268.75"
"2192756";"7";"2023";"1";"BISPO JOSÉ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"12632850000191";"BRASILEIRO RESTAURANTE LTDA-ME";"000104645";"2023-01-12";;"140"
"2192387";"3";"2023";"1";"BISPO JOSÉ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"46556281204";"RAMILDE DA ROCHA OLIVEIRA";;"2023-01-03";;"7500"
"2192755";"6";"2023";"1";"BISPO JOSÉ";"Passagens aéreas, aquáticas e terrestres nacionais";"17768271000194";"RIO BRANCO AGENCIA (RBR)";"QNIVJO";"2023-01-17";"Companhia Aérea: LATAM, Localizador: QNIVJO. Passageiros: JOSÉ AFONSO TEIXEIRA (Matrícula 395733, PARLAMENTAR), Voo: 3652 - BSB/RBR - 20/01/23; JOSÉ AFONSO TEIXEIRA (Matrícula 395733, PARLAMENTAR), Voo: 3653 - RBR/BSB - 22/01/23; ";"3259.74"
"2192649";"4";"2023";"1";"CARLOS PORTINHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764000143";"oi s a";"140577722";"2023-01-15";;"119.88"
"2192530";"4";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04740876000125";"ALELO S.A.";"9936479";"2023-01-13";"pedágios no período de janeiro";"35.25"
"2192493";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08638802000133";"auto posto de abastecimento estrela do oceano ltda";"18205";"2023-01-05";"combustivel para visita a municipio do interior do rio de janeiro";"204.79"
"2193020";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"19356275000190";"AUTO POSTO RYDER LTDA";"75743";"2023-01-27";"COMBUSTIVEL PARA VISITA AOS MUNICIPIOS DO INTERIOR";"221.3"
"2192525";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"43497115000146";"bella marie ltda";"23150";"2023-01-13";"jantar com imprensa";"592.6"
"2192648";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08796076000500";"BRASIL 21 EVENTOS E HOTELARIA LTDA";"10970";"2023-01-16";"almoço com jornalistas";"184"
"2192962";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"10542662000228";"cb lago sul comercio de alimentos ltda";"59326";"2023-01-19";"almoço com imprensa favor retirar o couvert artistico de 26,54 pois nao sabia que seria cobrado";"116"
"2192916";"6";"2023";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17872428000127";"AMERICA VIAGENS E TURISMO LTDA - ME";"JTMIVT";"2023-01-10";"Companhia Aérea: LATAM, Localizador: JTMIVT. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3617 - NVTBSB - 16/01/23; ";"3190"
"2192915";"6";"2023";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17872428000127";"AMERICA VIAGENS E TURISMO LTDA - ME";"QSBJPB";"2023-01-10";"Companhia Aérea: LATAM, Localizador: QSBJPB. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3616 - BSBNVT - 10/01/23; ";"3410"
"2196314";"4";"2023";"2";"ALAN RICK";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"66970229013226";"CLARO NXT TELECOMUNICAÇÕES S.A";"0000291253";"2023-02-17";;"463.3"
"2196322";"4";"2023";"2";"ALAN RICK";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"04065033000170";"ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A";"001006712";"2023-02-23";;"426.8"
"2196312";"3";"2023";"2";"ALAN RICK";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"86069187253";"LARISSA MAIA MARTINELLO";"S/N";"2023-03-05";;"3800"
"2196324";"7";"2023";"2";"ALAN RICK";"Divulgação da atividade parlamentar";"10957640000148";"AMAZÔNIA 7 PRODUÇÕES LTDA";"549";"2023-03-28";;"2000"
"2196331";"7";"2023";"2";"ALAN RICK";"Divulgação da atividade parlamentar";"13886368000140";"EXATA COMUNICAÇÃO EIRELI";"1230";"2023-03-02";;"7000"
"2196317";"7";"2023";"2";"ALAN RICK";"Divulgação da atividade parlamentar";"46010202000115";"O SERINGAL COMUNICAÇÃO LTDA";"34";"2023-03-08";;"2500"
"2196316";"2";"2023";"2";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06906483000174";"POSTO VILLAGE LTDA";"281160";"2023-02-06";;"440.12"
"2196318";"2";"2023";"2";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06906483000174";"POSTO VILLAGE LTDA";"281958";"2023-02-09";;"104.8"
"2196319";"2";"2023";"2";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06906483000174";"POSTO VILLAGE LTDA";"283201";"2023-02-14";;"453.18"
"2196321";"2";"2023";"2";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06906483000174";"POSTO VILLAGE LTDA";"283402";"2023-02-15";;"460.93"
"2196323";"2";"2023";"2";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06906483000174";"POSTO VILLAGE LTDA";"286362";"2023-02-26";;"487.64"
"2194704";"4";"2023";"2";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"14344311000182";"VERDE SERVICE LTDA - EPP";"002119";"2023-03-01";;"6500"
"2196227";"4";"2023";"3";"ALAN RICK";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"66970229013226";"CLARO NXT TELECOMUNICAÇÕES S.A";"306598";"2023-03-18";;"478.49"
"2196329";"7";"2023";"3";"ALAN RICK";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"10957640000148";"AMAZÔNIA 7 PRODUÇÕES LTDA";"551";"2023-03-28";;"2000"
"2196327";"7";"2023";"3";"ALAN RICK";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"13886368000140";"EXATA COMUNICAÇÃO EIRELI";"1232";"2023-03-24";;"7000"
"2196328";"7";"2023";"3";"ALAN RICK";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"46010202000115";"O SERINGAL COMUNICAÇÃO LTDA";"37";"2023-03-27";;"2500"
"2196330";"7";"2023";"3";"ALAN RICK";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"01020851000169";"TV E RÁDIO JURUÁ";"337";"2023-03-28";;"3000"
"2193865";"7";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"09304110000111";"jade empreendimentos imobiliários ltda";"1083";"2023-02-03";"1 diaria de janeiro, saldo pago em requerimento de fevereiro";"421.74"
"2192523";"4";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"16670085105500";"localiza rent a car s.a.";"926005";"2023-01-13";"locaçao de veiculo pelos 13 dias de janeiro";"1728.95"
"2193898";"4";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"16670085105500";"localiza rent a car s.a.";"1895";"2023-02-12";"LOCAÇAO DE VEICULO PELO PERIODO DE JANEIRO";"2353.41"
"2193456";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"68656545000194";"posto amigao de itaipava";"647770";"2023-01-24";"combustivel para visita ao interior";"257.37"
"2192961";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"20736896000189";"RESTAURANTE BLOCO C";"84890";"2023-01-20";"almoço com imprensa";"327.3"
"2192960";"2";"2023";"1";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"20736896000189";"RESTAURANTE BLOCO C";"84977";"2023-01-23";"almoço com senador";"312.95"
"2192354";"6";"2023";"1";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09296295000160";"AZUL";"KL1L6N";"2023-01-05";"Companhia Aérea: AZUL, Localizador: KL1L6N. Passageiros: CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 2830 - BSB X SDU - 17/01/23; CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 4796 - SDU X BSB - 19/01/23; ";"1522.52"
"2192356";"6";"2023";"1";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09296295000160";"AZUL";"JG2SFP";"2023-01-06";"Companhia Aérea: AZUL, Localizador: JG2SFP. Passageiros: OCTAVIO DO ESPIRITO SANTO (Matrícula 370499, COMISSIONADO), Voo: 4187 - SDU X BSB - 30/01/23; OCTAVIO DO ESPIRITO SANTO (Matrícula 370499, COMISSIONADO), Voo: 4792 - BSB X SDU - 03/02/23; ";"954.62"
"2193897";"6";"2023";"1";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09296295000160";"AZUL";"MNM9KX";"2023-01-21";"Companhia Aérea: AZUL, Localizador: MNM9KX. Passageiros: CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 4634 - SDU X FLN - 09/02/23; CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 4617 - FLN X SDU - 11/02/23; ";"965.62"
"2192411";"6";"2023";"1";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"07575651000159";"GOL";"ZIMSJQ";"2023-01-10";"Companhia Aérea: GOL, Localizador: ZIMSJQ. Passageiros: CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 1457 - BSB X CGH - 27/01/23; CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 1446 - CGH X BSB - 28/01/23; ";"1322.1"
"2194222";"4";"2023";"2";"CARLOS PORTINHO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"76535764000143";"oi s a";"161057859";"2023-02-15";;"119.88"
"2194389";"2";"2023";"2";"CARLOS PORTINHO";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"33381286002367";"supermercado zona sul sa";"319857";"2023-02-26";"MATERIAL PARA USO NO GABINETE RJ";"332.01"
"2194122";"7";"2023";"2";"CARLOS PORTINHO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"19103468000130";"rodrigues & fernandes advogados associados";"583";"2023-02-15";"honorários advocatícios conforme contrato enviado 1/6";"10000"
"2196326";"2";"2023";"3";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"13188092000127";"AUTO POSTO SÃO SEBASTIÃO LTDA";"000475553";"2023-03-24";;"250"
"2196466";"2";"2023";"3";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06906483000174";"POSTO VILLAGE LTDA";"287554";"2023-03-01";;"118.6"
"2196467";"2";"2023";"3";"ALAN RICK";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"06906483000174";"POSTO VILLAGE LTDA";"289242";"2023-03-06";;"118.6"
"2192902";"7";"2023";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"25012398000107";"GOOGLE CLOUD BRASIL COMPUTAÇÃO E SERVIÇOS DE DADOS LTDA";"05221383";"2023-01-03";;"48.6"
"2192904";"7";"2023";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"25012398000107";"GOOGLE CLOUD BRASIL COMPUTAÇÃO E SERVIÇOS DE DADOS LTDA";"05264574";"2023-01-03";;"49.31"
"2192900";"7";"2023";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"36052898000199";"GRIFO Papelaria e gráfica criativa";"00000001";"2023-01-25";;"3000"
"2192905";"7";"2023";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02351877000152";"LOCAWEB SERVICOS DE INTERNET S.A.";"07464996";"2022-12-26";;"29.07"
"2192906";"7";"2023";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"02351877000152";"LOCAWEB SERVICOS DE INTERNET S.A.";"07641107";"2023-01-20";;"16.83"
"2192857";"6";"2023";"1";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39827859000104";"MM TOUR";"YWPLXZ";"2023-01-09";"Companhia Aérea: LATAM, Localizador: YWPLXZ. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 3600 - BSB - AJU - 10/01/23; ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 3601 - AJU - BSB - 10/01/23; ";"6057.84"
"2194989";"5";"2023";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"01335342000125";"Barros Filhos Imóveis";"7922";"2023-03-02";;"4809"
"2196016";"7";"2023";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"30257673000192";"ASSOCIAÇÃO LEGISLA BRASIL";"00000213";"2023-02-03";;"3000"
"2196139";"7";"2023";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"13007646000142";"GRAFICA EDITORA J ANDRADE LTDA";"00000163";"2023-02-03";;"420"
"2194991";"7";"2023";"2";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"36052898000199";"GRIFO Papelaria e gráfica criativa";"00000002";"2023-03-01";;"3500"
"2194993";"7";"2023";"2";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"13179247000169";"COMERCIAL MARIVAN LTDA";"2977";"2023-02-28";;"2000"
"2195960";"7";"2023";"3";"ALESSANDRO VIEIRA";"Divulgação da atividade parlamentar";"36052898000199";"GRIFO Papelaria e gráfica criativa";"00000003";"2023-03-22";;"3500"
"2193453";"2";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"68575349000195";"auto posto gnomo ltda";"165375";"2023-02-02";"combustivel para visita ao interior";"196.31"
"2193934";"2";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"68575349000195";"auto posto gnomo ltda";"166725";"2023-02-13";"combustível para visita a municípios do interior";"197.9"
"2194212";"2";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"68575349000195";"auto posto gnomo ltda";"167204";"2023-02-17";"combustível para visita aos municípios do interior";"261.43"
"2193776";"2";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"03545887000191";"fleming centro de comercio e serviços";"16903";"2023-02-08";"combustivel para serviço do senador";"205.13"
"2193452";"7";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"09304110000111";"jade empreendimentos imobiliários ltda";"1083";"2023-02-03";"hospedagem de assessor em brasilia";"843.48"
"2193899";"4";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"16670085105500";"localiza rent a car s.a.";"1895";"2023-02-12";"LOCAÇAO DE VEICULO PELO PERIODO DE FEVEREIRO";"1568.94"
"2195435";"4";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"16670085105500";"localiza rent a car s.a.";"2204";"2023-03-14";"LOCAÇAO DE VEICULO PELOS DIAS DE FEVEREIRO";"2149.86"
"2195478";"4";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07976147016679";"movida locação de veículos s.a";"20038532";"2023-02-13";"locaçao de veiculo pelos dias de fevereiro";"1197.29"
"2194321";"2";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"31135973000161";"posto de gasolina bingen ltda";"606286";"2023-02-22";"combustivel para visita a municipios do interior";"220.65"
"2194322";"2";"2023";"2";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05982730000159";"posto nova parada";"650807";"2023-02-24";"combustivel para visita a municipios do interior";"177.22"
"2194238";"6";"2023";"2";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09296295000160";"AZUL";"SLMB2N";"2023-02-23";"Companhia Aérea: AZUL, Localizador: SLMB2N. Passageiros: CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 4481 - BSB X SDU - 10/03/23; ";"792.38"
"2194324";"6";"2023";"2";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09296295000160";"AZUL";"IDUYXI";"2023-02-25";"Companhia Aérea: AZUL, Localizador: IDUYXI. Passageiros: CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 2830 - BSB X SDU - 23/03/23; CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 4800 - SDU X BSB - 28/03/23; ";"1007.38"
"2194387";"6";"2023";"2";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"09296295000160";"AZUL";"BI839G";"2023-02-27";"Companhia Aérea: AZUL, Localizador: BI839G. Passageiros: LUCIO SANTOS PEREIRA  FILHO (Matrícula 370463, COMISSIONADO), Voo: 4800 - SDU X BSB - 28/03/23; LUCIO SANTOS PEREIRA  FILHO (Matrícula 370463, COMISSIONADO), Voo: 4795 - BSB X SDU - 31/03/23; ";"810.28"
"2193864";"6";"2023";"2";"CARLOS PORTINHO";"Passagens aéreas, aquáticas e terrestres nacionais";"02012862000160";"TAM";"HOXJBN";"2023-02-06";"Companhia Aérea: TAM, Localizador: HOXJBN. Passageiros: CARLOS FRANCISCO PORTINHO (Matrícula 370414, PARLAMENTAR), Voo: 3974 - SDU X BSB - 03/03/23; ";"727.19"
"2195868";"7";"2023";"3";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"32717514000159";"REAL CLASSIC HOTEL";"00000540";"2023-03-20";"Hospedagem referente ao quarto duplo ocupado pelos servidores: 
- Elaine da Silva Gontijo, matrícula 353209
- Sabrina Xavier Fiuza Lima, matrícula 384929";"1478.27"
